Team,Total,Rules,Fouls,Fair,Attitude,Comm.
Columbus Cocktails,12.29,2,2.43,2.57,2.57,2.71
Jughandle,11.86,2,2.14,2.57,2.71,2.43
Seattle Mixtape,11.83,2.5,2.17,2.33,2.33,2.5
BFG,11.57,1.86,2.29,2.43,2.43,2.57
Polar Bears,11.57,2.29,2.14,2.29,2.43,2.43
Slow White,11.43,2.14,2.14,2.29,2.43,2.43
Drag'n Thrust,11.33,2.17,2,2.17,2.33,2.67
AMP,11,2,2.17,2,2.5,2.33
No Touching!,11,2,2.14,2.14,2.43,2.29
Mischief,10.57,1.86,1.86,2.29,2.29,2.29
shame.,10.43,1.86,2,2,2.43,2.14
Space Heater,10,2,1.8,2.2,2,2
Blackbird,9.83,2,1.5,2,2,2.33
XIST,9.43,1.86,1.57,2.14,2,1.86
Toro,9.29,1.71,1.43,1.86,2.14,2.14
Snake Country,8.8,1.8,1.6,1.6,2.2,1.6
